2024-09-21 00:39:18 INFO     Using an existing study with name 'xgboost-study1' instead of creating a new one.
2024-09-21 00:39:18 INFO     START OPTUNA OPTIMIZATION...
2024-09-21 00:46:12 INFO     Trial 362 finished with value: 0.6733783177358443 and parameters: {'clf__max_delta_step': 35.88052649215578, 'clf__max_depth': 11, 'clf__reg_lambda': 23.00331596392099, 'clf__gamma': 23.730182285836886, 'clf__min_child_weight': 6.197789247777255, 'clf__reg_alpha': 7.235910341662542, 'clf__learning_rate': 0.057402662017973165, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 06:44:09 INFO     Trial 423 finished with value: 0.8462524581046166 and parameters: {'clf__max_delta_step': 87.80283890367701, 'clf__max_depth': 11, 'clf__reg_lambda': 3.6819210649807204, 'clf__gamma': 35.172205350443285, 'clf__min_child_weight': 3.7120930006776294, 'clf__reg_alpha': 2.897470395946311, 'clf__learning_rate': 0.044346711524623154, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 06:48:01 INFO     Trial 424 finished with value: 0.7700615211527819 and parameters: {'clf__max_delta_step': 83.26709404503328, 'clf__max_depth': 11, 'clf__reg_lambda': 2.746529165033202, 'clf__gamma': 32.864871959502494, 'clf__min_child_weight': 17.993562658550747, 'clf__reg_alpha': 2.0612166085341452, 'clf__learning_rate': 0.059737337169575196, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 06:56:20 INFO     Trial 425 finished with value: 0.9277696473256223 and parameters: {'clf__max_delta_step': 75.55400436528069, 'clf__max_depth': 11, 'clf__reg_lambda': 1.5811256713325652, 'clf__gamma': 32.61698571033956, 'clf__min_child_weight': 1.9997440003245917, 'clf__reg_alpha': 1.480491537410358, 'clf__learning_rate': 0.023551044182477773, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 07:01:11 INFO     Trial 426 finished with value: 0.9318701207676506 and parameters: {'clf__max_delta_step': 39.54306189823738, 'clf__max_depth': 11, 'clf__reg_lambda': 2.162644417765894, 'clf__gamma': 31.759804419241476, 'clf__min_child_weight': 4.919301974411612, 'clf__reg_alpha': 2.950375135353431, 'clf__learning_rate': 0.054995151510985274, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 07:04:47 INFO     Trial 427 finished with value: 0.749480684634757 and parameters: {'clf__max_delta_step': 33.52263303105646, 'clf__max_depth': 11, 'clf__reg_lambda': 4.703459967511051, 'clf__gamma': 33.00516032846338, 'clf__min_child_weight': 5.620159734352965, 'clf__reg_alpha': 33.060981865479484, 'clf__learning_rate': 1.9356893095895231, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 07:09:17 INFO     Trial 428 finished with value: 0.8543067505874294 and parameters: {'clf__max_delta_step': 69.93027156590618, 'clf__max_depth': 5, 'clf__reg_lambda': 2.9635707109438436, 'clf__gamma': 31.460789847172027, 'clf__min_child_weight': 8.088277039841998, 'clf__reg_alpha': 2.5778604974333703, 'clf__learning_rate': 0.04015496002378888, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 07:14:26 INFO     Trial 429 finished with value: 0.8586516281926507 and parameters: {'clf__max_delta_step': 94.11200747302982, 'clf__max_depth': 11, 'clf__reg_lambda': 2.306039872692605, 'clf__gamma': 36.76385540596093, 'clf__min_child_weight': 9.133168274053585, 'clf__reg_alpha': 0.010459595586214121, 'clf__learning_rate': 0.030026320404674706, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 07:19:12 INFO     Trial 430 finished with value: 0.9187249219015274 and parameters: {'clf__max_delta_step': 38.64348228635937, 'clf__max_depth': 11, 'clf__reg_lambda': 1.8154715291227406, 'clf__gamma': 32.038680738245404, 'clf__min_child_weight': 6.162486053484466, 'clf__reg_alpha': 3.6603756904179128, 'clf__learning_rate': 0.052974715507899346, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 07:24:30 INFO     Trial 431 finished with value: 0.8445261427524836 and parameters: {'clf__max_delta_step': 35.761676996137055, 'clf__max_depth': 6, 'clf__reg_lambda': 1.0424267114095391, 'clf__gamma': 28.963300886629824, 'clf__min_child_weight': 4.839470868093921, 'clf__reg_alpha': 16.226709559051628, 'clf__learning_rate': 0.03792986696832032, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 07:29:42 INFO     Trial 432 finished with value: 0.9035014964267591 and parameters: {'clf__max_delta_step': 39.517762852873155, 'clf__max_depth': 11, 'clf__reg_lambda': 3.676377178448364, 'clf__gamma': 30.602136200361013, 'clf__min_child_weight': 4.511318044343053, 'clf__reg_alpha': 2.149083500457179, 'clf__learning_rate': 0.048265081884776, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 07:34:01 INFO     Trial 433 finished with value: 0.8610491792587566 and parameters: {'clf__max_delta_step': 72.45918442665192, 'clf__max_depth': 11, 'clf__reg_lambda': 2.206880125912821, 'clf__gamma': 28.142845270586772, 'clf__min_child_weight': 14.132036285592081, 'clf__reg_alpha': 2.952746596233334, 'clf__learning_rate': 0.05378695478275316, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 07:40:44 INFO     Trial 434 finished with value: 0.9312925719352912 and parameters: {'clf__max_delta_step': 41.09250511677117, 'clf__max_depth': 11, 'clf__reg_lambda': 1.2871534062260337, 'clf__gamma': 29.574825186510342, 'clf__min_child_weight': 4.02767692312495, 'clf__reg_alpha': 1.6062776625368231, 'clf__learning_rate': 0.031215374964716137, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 07:47:33 INFO     Trial 435 finished with value: 0.8710491920963093 and parameters: {'clf__max_delta_step': 38.992643946219125, 'clf__max_depth': 11, 'clf__reg_lambda': 2.958357559932851, 'clf__gamma': 33.75662034731366, 'clf__min_child_weight': 5.451506757950276, 'clf__reg_alpha': 3.970806928664878, 'clf__learning_rate': 0.02149558282457763, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 07:53:04 INFO     Trial 436 finished with value: 0.7188270829232895 and parameters: {'clf__max_delta_step': 37.11872416958017, 'clf__max_depth': 11, 'clf__reg_lambda': 0.8052580434417007, 'clf__gamma': 32.19905478408719, 'clf__min_child_weight': 3.2587922931614903, 'clf__reg_alpha': 20.951912631822744, 'clf__learning_rate': 0.04138783350037452, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 07:57:32 INFO     Trial 437 finished with value: 0.5398847385266023 and parameters: {'clf__max_delta_step': 34.4726784641073, 'clf__max_depth': 11, 'clf__reg_lambda': 34.94395539386703, 'clf__gamma': 28.604099475699908, 'clf__min_child_weight': 6.563392842065645, 'clf__reg_alpha': 0.9974385771789823, 'clf__learning_rate': 0.056818700163869806, 'clf__grow_policy': 'depthwise'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 08:02:19 INFO     Trial 438 finished with value: 0.9333869061803891 and parameters: {'clf__max_delta_step': 42.494115800518735, 'clf__max_depth': 12, 'clf__reg_lambda': 1.7614108113214497, 'clf__gamma': 30.67010363895567, 'clf__min_child_weight': 4.784058316748538, 'clf__reg_alpha': 2.1063806564821403, 'clf__learning_rate': 0.06177808293470753, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 08:06:04 INFO     Trial 439 finished with value: 0.6485664230943124 and parameters: {'clf__max_delta_step': 42.76672176590045, 'clf__max_depth': 12, 'clf__reg_lambda': 2.361207969632317, 'clf__gamma': 30.086322076009612, 'clf__min_child_weight': 29.226034018869065, 'clf__reg_alpha': 3.1015528916199337, 'clf__learning_rate': 0.061111466080172865, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 08:10:22 INFO     Trial 440 finished with value: 0.9274906142450173 and parameters: {'clf__max_delta_step': 41.72277547395295, 'clf__max_depth': 12, 'clf__reg_lambda': 3.861783451195081, 'clf__gamma': 27.92697312521346, 'clf__min_child_weight': 5.131394704435893, 'clf__reg_alpha': 2.1728872985753602, 'clf__learning_rate': 0.09676691461197885, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 08:14:48 INFO     Trial 441 finished with value: 0.9010205096857355 and parameters: {'clf__max_delta_step': 66.23721248769479, 'clf__max_depth': 12, 'clf__reg_lambda': 1.8391872487651537, 'clf__gamma': 29.191464213713253, 'clf__min_child_weight': 7.045874213855344, 'clf__reg_alpha': 3.749600526819752, 'clf__learning_rate': 0.06424907852580422, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 08:23:49 INFO     Trial 442 finished with value: 0.9154020386216972 and parameters: {'clf__max_delta_step': 76.03847460335774, 'clf__max_depth': 12, 'clf__reg_lambda': 3.036040164455441, 'clf__gamma': 7.453442861981404, 'clf__min_child_weight': 5.92222799209305, 'clf__reg_alpha': 2.5703373149891773, 'clf__learning_rate': 0.046484375162746346, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 08:27:54 INFO     Trial 443 finished with value: 0.9312053257289004 and parameters: {'clf__max_delta_step': 45.34958501665147, 'clf__max_depth': 12, 'clf__reg_lambda': 1.3931844533909068, 'clf__gamma': 27.830285283851282, 'clf__min_child_weight': 4.932545896816448, 'clf__reg_alpha': 4.068038663756055, 'clf__learning_rate': 0.11312625456982794, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 08:32:12 INFO     Trial 444 finished with value: 0.6189001355384043 and parameters: {'clf__max_delta_step': 68.12591450310576, 'clf__max_depth': 12, 'clf__reg_lambda': 15.980344620424962, 'clf__gamma': 30.456290111174226, 'clf__min_child_weight': 4.178284111047624, 'clf__reg_alpha': 1.795213512996046, 'clf__learning_rate': 0.07858199460470362, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 08:37:39 INFO     Trial 445 finished with value: 0.9188608228975149 and parameters: {'clf__max_delta_step': 37.67942406090107, 'clf__max_depth': 12, 'clf__reg_lambda': 2.1646424910992037, 'clf__gamma': 29.32036312721201, 'clf__min_child_weight': 3.9090312448856293, 'clf__reg_alpha': 2.8195400671992426, 'clf__learning_rate': 0.050418409768636076, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 08:42:15 INFO     Trial 446 finished with value: 0.934120079472018 and parameters: {'clf__max_delta_step': 44.54218191296288, 'clf__max_depth': 12, 'clf__reg_lambda': 1.4783977271926765, 'clf__gamma': 31.8004028973167, 'clf__min_child_weight': 5.940646472602399, 'clf__reg_alpha': 3.3317165635368613, 'clf__learning_rate': 0.0616205573394941, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 08:46:45 INFO     Trial 447 finished with value: 0.8622091591767245 and parameters: {'clf__max_delta_step': 44.74368779294486, 'clf__max_depth': 11, 'clf__reg_lambda': 4.313843360262016, 'clf__gamma': 31.761447147703272, 'clf__min_child_weight': 6.215249463192782, 'clf__reg_alpha': 2.799846093986247, 'clf__learning_rate': 0.06074556509738492, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 08:51:56 INFO     Trial 448 finished with value: 0.8588240286527183 and parameters: {'clf__max_delta_step': 46.26742268530455, 'clf__max_depth': 12, 'clf__reg_lambda': 3.1292424756563375, 'clf__gamma': 32.775719008821305, 'clf__min_child_weight': 7.221623941061445, 'clf__reg_alpha': 3.493236307574164, 'clf__learning_rate': 0.038753312429154356, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 08:55:44 INFO     Trial 449 finished with value: 0.57124893228006 and parameters: {'clf__max_delta_step': 43.03807216986436, 'clf__max_depth': 11, 'clf__reg_lambda': 1.81646355262709, 'clf__gamma': 33.22265137642491, 'clf__min_child_weight': 39.23491658118114, 'clf__reg_alpha': 1.8063651061681574, 'clf__learning_rate': 0.045868676719855096, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 09:00:16 INFO     Trial 450 finished with value: 0.9191617609154612 and parameters: {'clf__max_delta_step': 42.08290134410136, 'clf__max_depth': 12, 'clf__reg_lambda': 2.6146977412224266, 'clf__gamma': 31.819766456009425, 'clf__min_child_weight': 5.59074982318604, 'clf__reg_alpha': 3.3325270589953693, 'clf__learning_rate': 0.06534662304974131, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 09:04:49 INFO     Trial 451 finished with value: 0.8918618245755656 and parameters: {'clf__max_delta_step': 81.0190831345999, 'clf__max_depth': 11, 'clf__reg_lambda': 1.4009016993022274, 'clf__gamma': 34.72587588747775, 'clf__min_child_weight': 6.342184899323476, 'clf__reg_alpha': 4.3075258842404285, 'clf__learning_rate': 0.056271971771392856, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 09:10:10 INFO     Trial 452 finished with value: 0.9135607303954358 and parameters: {'clf__max_delta_step': 47.13120291105355, 'clf__max_depth': 12, 'clf__reg_lambda': 0.7386896981249303, 'clf__gamma': 30.9976164406653, 'clf__min_child_weight': 8.552138332629324, 'clf__reg_alpha': 1.2455425636015593, 'clf__learning_rate': 0.03574555267360022, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 09:19:29 INFO     Trial 453 finished with value: 0.0 and parameters: {'clf__max_delta_step': 44.638777714117445, 'clf__max_depth': 12, 'clf__reg_lambda': 2.123001594471103, 'clf__gamma': 30.39413308385947, 'clf__min_child_weight': 4.587855352476615, 'clf__reg_alpha': 2.3422589107726783, 'clf__learning_rate': 0.003257932784535951, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 09:23:36 INFO     Trial 454 finished with value: 0.8997990836242387 and parameters: {'clf__max_delta_step': 40.58693823660665, 'clf__max_depth': 11, 'clf__reg_lambda': 1.234270963239504, 'clf__gamma': 32.63885859516943, 'clf__min_child_weight': 7.560234806562111, 'clf__reg_alpha': 1.2778595814659013, 'clf__learning_rate': 0.07512516399431755, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 09:28:51 INFO     Trial 455 finished with value: 0.9035926283773303 and parameters: {'clf__max_delta_step': 49.73911802701279, 'clf__max_depth': 12, 'clf__reg_lambda': 3.5103565221526245, 'clf__gamma': 31.11674807636434, 'clf__min_child_weight': 5.210554885845612, 'clf__reg_alpha': 2.1875966698070233, 'clf__learning_rate': 0.0444701479593066, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 09:33:59 INFO     Trial 456 finished with value: 0.9031389002814469 and parameters: {'clf__max_delta_step': 41.56266558162701, 'clf__max_depth': 11, 'clf__reg_lambda': 2.366251223800276, 'clf__gamma': 29.345745172231577, 'clf__min_child_weight': 3.537446132639804, 'clf__reg_alpha': 3.2696463328447196, 'clf__learning_rate': 0.05938339350759422, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 09:38:11 INFO     Trial 457 finished with value: 0.9337292663164591 and parameters: {'clf__max_delta_step': 37.41173672486161, 'clf__max_depth': 12, 'clf__reg_lambda': 0.7101661962011445, 'clf__gamma': 34.13240501377, 'clf__min_child_weight': 4.6621435074494855, 'clf__reg_alpha': 4.106333593544789, 'clf__learning_rate': 0.0883456342668373, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 09:42:09 INFO     Trial 458 finished with value: 0.9039772647122205 and parameters: {'clf__max_delta_step': 42.89225880249642, 'clf__max_depth': 12, 'clf__reg_lambda': 0.64182866952061, 'clf__gamma': 33.64337700682993, 'clf__min_child_weight': 6.3822043731796665, 'clf__reg_alpha': 4.303941660723077, 'clf__learning_rate': 0.09846441610626219, 'clf__grow_policy': 'depthwise'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 09:45:57 INFO     Trial 459 finished with value: 0.9304875838308371 and parameters: {'clf__max_delta_step': 52.660248435387125, 'clf__max_depth': 12, 'clf__reg_lambda': 0.5337384861786516, 'clf__gamma': 34.910036424474505, 'clf__min_child_weight': 5.132528900847795, 'clf__reg_alpha': 3.393188950112979, 'clf__learning_rate': 0.12647843568081807, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 09:50:19 INFO     Trial 460 finished with value: 0.9194502953035796 and parameters: {'clf__max_delta_step': 46.08904229507918, 'clf__max_depth': 12, 'clf__reg_lambda': 1.4319181926765587, 'clf__gamma': 34.065241401827926, 'clf__min_child_weight': 3.055608427498182, 'clf__reg_alpha': 2.5632230717527182, 'clf__learning_rate': 0.09064205424156924, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
2024-09-21 09:54:50 INFO     Trial 461 finished with value: 0.918656052964823 and parameters: {'clf__max_delta_step': 39.88441011048143, 'clf__max_depth': 12, 'clf__reg_lambda': 0.4814382377813031, 'clf__gamma': 32.40857465110762, 'clf__min_child_weight': 4.017072487385586, 'clf__reg_alpha': 4.2173722146307275, 'clf__learning_rate': 0.07943434572197525, 'clf__grow_policy': 'lossguide'}. Best is trial 159 with value: 0.9358661138082169.
